Facility Name,Address,City,Postal Code,Phone,Province,Country,Company Name / Name of operators,Number of rental units,Number of rental units in private residence for seniors,Type of residence,Year of opening,Date of possession,Updated on,Member of an association,Certification Date of issue,Offered services,Complete residence information,facility_type
Résidence au coeur d'or (4577),"32, 10e avenue Ouest",Macamic,J0Z 2S0,819-782-2172,QC,Canada,"Bruneau, Pauline",10,10,Résidence à but lucratif,2004,4/11/2004,7/11/2016,Aucune,3/31/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4577,Assisted Living
Résidence Royale S.E.N.C. (4583),"467-469, 1ere rue ouest",Amos,J9T 2M5,819-732-4284,QC,Canada,Résidence Royale S.E.N.C.,16,16,Résidence à but lucratif,2004,12/15/2015,8/29/2016,Aucune,9/20/2013,Repas; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4583,Assisted Living
Les Résidences du Carrefour (4587),"2835 et 2775, rue du Manoir",Sherbrooke,J1L 2E6,819-564-4408,QC,Canada,9130-7074 Québec inc.,270,270,Résidence à but lucratif,1988,1/8/2006,3/1/2017,RPHL,5/19/2014,Repas; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4587,Assisted Living
Les Résidences Soleil Manoir Sherbrooke (4589),"1150, rue Quatre Saisons",Sherbrooke,J1E 3X3,819-822-1038,QC,Canada,2967880 Canada inc.,456,456,Résidence à but lucratif,1994,1/1/1994,8/3/2016,RQRA- Regroupement québecois des résidences pour aînés; Association des propriétaires du Québec (APQ),1/28/2016,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4589,Assisted Living
Les Résidences Soleil Manoir du Musée (4591),"245, rue Frontenac",Sherbrooke,J1H 1K1,819-822-1938,QC,Canada,6485987 Canada inc.,197,197,Résidence à but lucratif,2001,1/1/2001,8/9/2016,RQRA- Regroupement québecois des résidences pour aînés; Association des propriétaires du Québec (APQ),9/10/2016,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4591,Assisted Living
Coopérative de travail Résidence Sérénité (4601),"210, rue Lasalle",Saint-Ludger,G0M 1W0,819-548-5700,QC,Canada,COOPÉRATIVE DE TRAVAIL RÉSIDENCE SÉRÉNITÉ,26,22,Résidence à but lucratif,2004,2/1/2004,3/8/2017,ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,4/3/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4601,Assisted Living
Pavillon Ste-Hélène (4612),"44, rue Chaleur, C.P. 69",Pointe-à-la-Croix,G0C 1L0,418-788-5654,QC,Canada,Pavillon Ste-Hélène,16,5,Organisme à but non lucratif (OBNL ou OSBL),1983,1/1/1983,4/3/2017,ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,11/19/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4612,Assisted Living
Résidence Jazz Ste-Foy (4613),"777, rue de Belmont",Québec,G1V 4V2,418-650-5553,QC,Canada,9258-6569 Québec Inc,193,193,Résidence à but lucratif,2005,5/4/2005,1/17/2017,RQRA- Regroupement québecois des résidences pour aînés,4/7/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4613,Assisted Living
Les Jardins Ste-Émilie (4619),"3228, rue Ste-Émilie",Saguenay,G7S 6C3,418-548-2663,QC,Canada,Les Jardins Ste-Émilie 9111-6673 Québec inc.,260,240,Résidence à but lucratif,2003,8/1/2003,3/17/2017,ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,11/6/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4619,Assisted Living
Terrasses Dominicaines 2016 inc. (4633),"1465, boulevard du Carmel",Trois-Rivières,G8Z 3R7,819-370-3799,QC,Canada,Terrasses Dominicaines 2016 inc.,90,90,Résidence à but lucratif,2004,12/20/2016,5/11/2017,RQRA- Regroupement québecois des résidences pour aînés,12/10/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4633,Assisted Living
Résidence Johanne (465),"500, route 108",Stornoway,G0Y 1N0,819-652-2705,QC,Canada,"Mathieu, Johanne",8,8,Résidence à but lucratif,1996,1/12/2001,6/19/2017,Aucune,7/16/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=465,Assisted Living
Foyer Tshishennuat (4671),"297, rue Anek",Maliotenam,G4R 4K2,418-927-3304,QC,Canada,Rock marlene,8,8,Organisme à but non lucratif (OBNL ou OSBL),1999,7/6/1999,6/3/2016,Aucune,2/2/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4671,Assisted Living
Le Manoir Painchaud (4672),"380, chemin Grande-Côte",Saint-Eustache,J7P 1H3,450-491-0916,QC,Canada,SIMSTEPH INC,20,20,Résidence à but lucratif,1997,2/1/2015,9/11/2017,Aucune,5/13/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4672,Assisted Living
Manoir Des Doux Souvenirs inc. (467),"684, rue Principale",Lac-Drolet,G0Y 1C0,819-549-9990,QC,Canada,Manoir Des Doux Souvenirs inc.,22,20,Résidence à but lucratif,1998,4/1/2017,4/11/2017,Aucune,7/7/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=467,Assisted Living
L'Accueil St-Roch (4681),"50, rue Wilfrid Locat Nord",Saint-Roch-de-l'Achigan,J0K 3H0,450-588-5962,QC,Canada,9161-1731 Québec inc.,54,54,Résidence à but lucratif,1985,5/10/2005,4/5/2016,Aucune,3/25/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4681,Assisted Living
Villa Berthier (4686),"101, rue Sainte-Foy",Berthierville,J0K 1A0,450-960-2084,QC,Canada,9149-4567 Québec inc.,141,115,Résidence à but lucratif,2006,3/1/2006,8/11/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,12/19/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4686,Assisted Living
Château Marysia de Vassimmeuble inc. (4704),"141, Centrale Sud",Stratford,G0Y 1P0,418-443-2929,QC,Canada,VASSIMEUBLE INC,11,11,Résidence à but lucratif,2004,12/1/2004,10/7/2016,Aucune,5/14/2016,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4704,Assisted Living
Résidence Ste-Jeanne D'Arc (4706),"1270, rue Galt Ouest",Sherbrooke,J1H 2A7,819-566-0505,QC,Canada,9148-3016 QUÉBEC INC.,72,72,Résidence à but lucratif,2005,7/1/2005,12/20/2016,Aucune,7/24/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4706,Assisted Living
Maison Bellevue S.E.N.C. (4717),"1137, rue Bellevue",Saint-Lambert-de-Lauzon,G0S 2W0,418-889-0886,QC,Canada,Maison Bellevue S.E.N.C.,16,16,Résidence à but lucratif,2004,11/24/2004,8/5/2016,Aucune,1/28/2016,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4717,Assisted Living
Résidence Luca inc. (4720),"253-D, Route 108",Beauceville,G5X 2Z3,418-774-4767,QC,Canada,Résidence Luca inc.,27,27,Résidence à but lucratif,1997,1/26/2003,4/27/2016,RQRA- Regroupement québecois des résidences pour aînés,1/8/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4720,Assisted Living
Villa Ukrainienne inc. (472),"6400, 8e avenue",Montréal,H1Y 3H4,514-374-6400,QC,Canada,Villa Ukrainienne inc.,54,54,Organisme à but non lucratif (OBNL ou OSBL),1991,11/26/1991,9/5/2017,RQRA- Regroupement québecois des résidences pour aînés; FOHM - Fédération des organismes d'habitation de Montréal,8/6/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=472,Assisted Living
Résidence Ste-Marguerite (4730),"24, côte de l'Église",Boischatel,G0A 1H0,418-822-3510,QC,Canada,9187-0287 Québec inc.,36,36,Résidence à but lucratif,2005,1/11/2005,4/28/2017,RQRA- Regroupement québecois des résidences pour aînés,5/23/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4730,Assisted Living
Les Résidences Soleil Pointe-aux-Trembles (4733),"13900, rue Notre-Dame Est",Montréal,H1A 1T5,514-642-2234,QC,Canada,6485944 Canada Inc.,475,475,Résidence à but lucratif,2005,1/1/2005,8/1/2017,RQRA- Regroupement québecois des résidences pour aînés; Ass. propriétaires du Québec APQ,10/29/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4733,Assisted Living
Maxwell (4736),"678, Surrey",Baie-D'Urfé,H9X 3S1,514-457-3111,QC,Canada,9118-5298 Québec inc.,103,103,Résidence à but lucratif,2004,7/1/2004,3/2/2017,Aucune,10/29/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4736,Assisted Living
Beit Chai inc. (474),"5065, avenue Van Horne",Montréal,H3W 1J5,514-738-6111,QC,Canada,La Maison Chai inc.,13,13,Résidence à but lucratif,1998,8/1/1998,8/28/2017,Aucune,11/9/2012,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=474,Assisted Living
Résidence Chez Brigitte Bernard (4750),"249, rue Principale",Les Hauteurs,G0K 1C0,418-798-4647,QC,Canada,Brigitte Bernard,8,8,Résidence à but lucratif,2004,2/7/2004,8/1/2017,Aucune,5/27/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4750,Assisted Living
Les Résidences du Manoir TRO inc. (4751),"695, côte Richelieu",Trois-Rivières,G9A 5T8,819-372-3032,QC,Canada,Les Résidences du Manoir TRO inc.,199,199,Résidence à but lucratif,2003,6/1/2003,8/9/2017,RQRA- Regroupement québecois des résidences pour aînés,10/10/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4751,Assisted Living
Villa Georges-Fournier (4759),"1, rue Saindon",Sayabec,G0J 3K0,418-536-5456,QC,Canada,Aide-Maison Vallée de la Matapédia,23,3,Organisme à but non lucratif (OBNL ou OSBL),1985,11/28/2007,5/24/2016,Programme Qualité Logi-être; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,6/29/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4759,Assisted Living
Résidence La Vallée (475),"5474, rue Bélanger",Montréal,H1T 1E8,514-257-1721,QC,Canada,Danielle Lavallée,9,9,Résidence à but lucratif,1991,10/1/1991,8/24/2017,Aucune,7/22/2017,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=475,Assisted Living
Les Terrasses Versailles (4763),"6923, boulevard Les Galeries d'Anjou",Montréal,H1M 3X6,514-852-3898,QC,Canada,Les Terrasses Versailles inc.,465,433,Résidence à but lucratif,2005,11/1/2005,8/21/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,12/2/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4763,Assisted Living
Le Cambridge (4770),"340, boulevard Hymus",Pointe-Claire,H9R 6B3,514-694-8383,QC,Canada,Le Cambridge agissant par son commandité 8317682 Canada Inc,530,530,Résidence à but lucratif,2004,4/2/2013,3/2/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,7/26/2016,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4770,Assisted Living
Pavillon Baillargeon inc. (4790),"357, Route 271",Saint-Benoît-Labre,G0M 1P0,418-228-9141,QC,Canada,Pavillon Baillargeon inc.,25,6,Résidence à but lucratif,1970,1/9/2000,4/20/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,1/13/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4790,Assisted Living
Résidence Saint-Pierre (4791),"2, rue St-Louis",Saint-Pierre-de-Broughton,G0N 1T0,418-424-0660,QC,Canada,Résidence Saint-Pierre de Broughton,9,9,Organisme à but non lucratif (OBNL ou OSBL),2000,5/1/2000,3/8/2017,Aucune,9/15/2013,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4791,Assisted Living
Manoir de l'Arbre argenté (9141-7857 Québec inc.) (4802),"1231, Charles-Rodrigue",Lévis,G6W 8M8,418-833-4909,QC,Canada,9141-7857 Québec inc.,60,60,Résidence à but lucratif,2006,1/6/2006,4/14/2016,RQRA- Regroupement québecois des résidences pour aînés,4/27/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4802,Assisted Living
Résidence Lionel-Bourdon (4808),"12100, boulevard Rodolphe-Forget",Montréal,H1E 7S2,514-648-9505,QC,Canada,Office municipal d'habitation de Montréal,103,103,Organisme à but non lucratif (OBNL ou OSBL),2006,1/1/2006,8/23/2017,RQRA- Regroupement québecois des résidences pour aînés; Réseau des offices municipaux díhabitation du Québec,3/30/2015,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4808,Assisted Living
Résidence Maywood (4809),"33, rue Maywood",Pointe-Claire,H9R 6B9,514-693-1754,QC,Canada,Office municipal d'habitation de Montréal,135,135,Organisme à but non lucratif (OBNL ou OSBL),2005,2/1/2005,8/23/2017,RQRA- Regroupement québecois des résidences pour aînés,12/2/2014,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4809,Assisted Living
Résidence Jean-Placide-Desrosiers (4810),"55, avenue Ouellette",Montréal,H8R 1L4,514-363-5353,QC,Canada,Office Municipal d'Habitation de Montréal,83,83,Organisme à but non lucratif (OBNL ou OSBL),2006,4/1/2006,8/23/2017,RQRA- Regroupement québecois des résidences pour aînés; Réseau des offices municipaux díhabitation du Québec,12/2/2014,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4810,Assisted Living
Résidence Rosalie-Cadron (4811),"12260, boulevard Laurentien",Montréal,H4K 2Z4,514-956-7422,QC,Canada,Office Municipal d'Habitation de Montréal,133,133,Organisme à but non lucratif (OBNL ou OSBL),2005,8/1/2005,8/23/2017,RQRA- Regroupement québecois des résidences pour aînés,6/17/2015,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4811,Assisted Living
Résidence des Sources (4813),"4200, boulevard des Sources",Dollard-Des Ormeaux,H9B 3M6,514-683-2323,QC,Canada,Office municipal d'habitation de Montréal,131,131,Organisme à but non lucratif (OBNL ou OSBL),2006,6/1/2006,8/23/2017,RQRA- Regroupement québecois des résidences pour aînés; Réseau des offices municipaux díhabitation du Québec,6/17/2015,Repas; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4813,Assisted Living
Résidence L'Alto (4818),"1700, rue Saint-Louis",Montréal,H4L 5P1,514-747-6776,QC,Canada,S.E.C Laurin St-Louis Phase I,220,220,Résidence à but lucratif,2006,1/7/2006,7/10/2017,Aucune,10/30/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4818,Assisted Living
Résidence du Campanile (4819),"901, rue Laudance",Québec,G1X 5J3,418-659-2889,QC,Canada,8309418 Canada inc.,107,107,Résidence à but lucratif,2006,7/14/2014,5/19/2017,RQRA- Regroupement québecois des résidences pour aînés,11/11/2014,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4819,Assisted Living
Résidence J.A. De Sève (481),"545, rue de la Gauchetière Est",Montréal,H2L 5E1,514-843-3739,QC,Canada,Maison du Père,77,77,Organisme à but non lucratif (OBNL ou OSBL),1988,4/4/1988,8/28/2017,Aucune,9/25/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=481,Assisted Living
Foyer L'Étincelle (4820),"105, rue Rioux",Mont-Joli,G5H 1Y8,418-775-3266,QC,Canada,Michaël Carroll,9,9,Résidence à but lucratif,2005,12/1/2005,5/24/2016,Aucune,3/9/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4820,Assisted Living
Les Habitations Pelletier (4821),"11519, avenue Pelletier",Montréal,H1H 3S3,514-323-3869,QC,Canada,Société en commandite Bourassa-Pelletier,228,228,Résidence à but lucratif,2005,5/1/2005,7/10/2017,Aucune,6/17/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4821,Assisted Living
Villa Racine (4823),"40, rue Racine Ouest",Saguenay,G7J 1E2,418-549-1683,QC,Canada,Mme Thérèse Girard,9,9,Résidence à but lucratif,2006,1/4/2006,3/20/2017,Aucune,7/30/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4823,Assisted Living
Résidences de La Gappe - Phase 1 (4827),"465, boul. La Gappe",Gatineau,J8T 0A2,819-246-5050,QC,Canada,Residence de la Gappe Facility Inc.,107,107,Résidence à but lucratif,2006,4/29/2006,6/8/2017,Programme Qualité Logi-être,4/29/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4827,Assisted Living
Place St-Moritz (4833),"1055, boulevard de la Côte-Vertu",Montréal,H4L 5N1,514-855-5552,QC,Canada,Société en commandite Foyer St-Laurent,224,224,Résidence à but lucratif,2004,11/1/2004,9/1/2017,CORPIQ-Corporation des Propriétaires immobiliers du Québec,12/3/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4833,Assisted Living
Résidence Le Parc (4834),"7930, boulevard Viau",Montréal,H1R 4A2,514-725-0555,QC,Canada,4234081 Canada Inc.,160,160,Résidence à but lucratif,2006,4/1/2006,8/28/2017,RQRA- Regroupement québecois des résidences pour aînés,7/19/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4834,Assisted Living
Résidences Le Château du Bel Âge (4839),"16, rue St-Georges",Windsor,J1S 1J3,819-845-2981,QC,Canada,RÉSIDENCES LE CHÂTEAU DU BEL ÂGE INC.,152,113,Résidence à but lucratif,2006,1/1/2006,3/8/2017,RQRA- Regroupement québecois des résidences pour aînés,3/10/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4839,Assisted Living
Les Berges du St-Laurent (4840),"10, rue Jean-Noël Trudel",Trois-Rivières,G8T 5W1,819-601-8115,QC,Canada,Le Groupe Accès aux Logis,48,48,Organisme à but non lucratif (OBNL ou OSBL),2006,1/6/2006,3/27/2017,RQRA- Regroupement québecois des résidences pour aînés; RQOH-Réseau québécois des osbl díhabitation,5/15/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4840,Assisted Living
Résidence Anctil (484),"610, 19e Avenue",Montréal,H8S 3S7,514-637-4014,QC,Canada,Yves-Marie François,9,9,Résidence à but lucratif,2004,1/8/2004,8/8/2017,RQRA- Regroupement québecois des résidences pour aînés,7/22/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=484,Assisted Living
Pavillon de la Paix (4853),"51, chemin Entrée Nord",Messines,J0X 2J0,819-465-3307,QC,Canada,Gilles Audette; Nathalie Belis,39,14,Résidence à but lucratif,2005,1/12/2005,8/23/2017,ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,10/23/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4853,Assisted Living
La Maison des Grands-Parents de St-Gabriel (4855),"357, rue Principale",Saint-Gabriel-de-Rimouski,G0K 1M0,418-798-4007,QC,Canada,France-Josée Deschênes et Anick Deschênes,9,9,Résidence à but lucratif,2007,10/1/2007,8/1/2017,Aucune,3/22/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4855,Assisted Living
Village Harmonie (4859),"5650, rue de l'Harmonie, case postale 375",Lac-Mégantic,G6B 0A1,819-583-2266,QC,Canada,SOCIÉTÉ EN COMMANDITE VILLAGE HARMONIE 1,179,178,Résidence à but lucratif,2006,1/4/2006,3/10/2017,RQRA- Regroupement québecois des résidences pour aînés,11/3/2013,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4859,Assisted Living
Résidence le Centenaire Souffle et Lumière (4860),"1032, avenue Hemlock",Shawinigan,G9N 1S7,819-537-1200,QC,Canada,Demers Johanne,4,4,Résidence à but lucratif,2000,10/9/2001,10/13/2016,Aucune,4/10/2015,Repas; Assistance personnelle; Aide domestique,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4860,Assisted Living
Résidence du Roy (4870),"1016, rue Galt Ouest",Sherbrooke,J1H 1Z8,819-346-2136,QC,Canada,Résidence du Roy (JR) inc.,12,12,Résidence à but lucratif,2006,10/22/2013,8/1/2017,RQRA- Regroupement québecois des résidences pour aînés; Programme Qualité Logi-être,6/19/2014,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4870,Assisted Living
Résidence Marcelle B. Lemay inc. (4879),"1200, rue de la Terrière",Trois-Rivières,G8Z 3J9,819-375-2211,QC,Canada,Résidence Marcelle B. Lemay inc.,30,14,Résidence à but lucratif,1986,1/1/1986,5/1/2017,RQRA- Regroupement québecois des résidences pour aînés; ARIHQ - Association des ressources intermédiaires d'hébergement du Québec,5/15/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4879,Assisted Living
Résidence le Duplessis (4880),"10-20, rue Duplessis",Trois-Rivières,G8T 9P2,819-378-7753,QC,Canada,Société en commandite le Duplessis,222,222,Résidence à but lucratif,1991,2/1/2003,5/9/2017,RQRA- Regroupement québecois des résidences pour aînés,6/19/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4880,Assisted Living
Accueil Doux Repos (4883),"347, rue Laurier",Drummondville,J2B 5E5,819-477-3392,QC,Canada,Niquette Monique,4,4,Résidence à but lucratif,2001,1/1/2001,3/2/2017,Aucune,6/5/2015,Repas; Assistance personnelle; Aide domestique,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4883,Assisted Living
Les Résidences Confort D. Charles (4887),"1787, rue Béique",Montréal,H8R 2C2,514-363-8863,QC,Canada,Résidences Confort D. Charles,7,7,Résidence à but lucratif,2005,9/25/2005,7/11/2017,Aucune,8/21/2013,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4887,Assisted Living
Les Résidences du Manoir St-Adolphe inc. (4891),"1544, rue des Musiciens",Saint-Adolphe-d'Howard,J0T 2B0,450-226-1168,QC,Canada,Gestion des manoirs L.P. inc,65,65,Résidence à but lucratif,2005,2/18/2005,5/3/2016,RQRA- Regroupement québecois des résidences pour aînés,11/26/2015,Repas; Assistance personnelle; Aide domestique; Soins infirmiers; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4891,Assisted Living
Résidence Victorienne (4901),"1,Hedgerow",Kirkland,H9H 3K7,514-426-4213,QC,Canada,Brenda Moses,5,5,Résidence à but lucratif,2004,9/1/2005,3/2/2017,RQRA- Regroupement québecois des résidences pour aînés,8/6/2015,Repas; Assistance personnelle; Aide domestique; Loisirs,http://wpp01.msss.gouv.qc.ca/appl/K10/public/formulaire/K10FormCons.asp?noForm=4901,Assisted Living
