License Number,Legal Name,Short Name,Address,PO Box,Municipality,Postal Code,Country,Phone,Health Region,Territory CLSC,MRC,Circ. Provincial Election,Licensing Services,Fax,Dir. General,Chairman of the Board,Complaints and Quality of Service Commissioner,Status,Law,Incorpporation,Mission(s),Ministerial designation,Local authority,Funding method,facility_type
5123-2882,CLSC DE GALLICHAN,CLSC DE GALLICHAN,"207, chemin de la Rivière Ouest",,Gallichan (87020),J0Z 2B0,Canada,(819) 787-6983,Abitibi-Témiscamingue (08),Abitibi-Ouest (08111),Abitibi-Ouest (870),Abitibi-Ouest (573),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4581,CLSC DE LAFORCE,CLSC DE LAFORCE,"711, chemin du Village",,Laforce (85070),J0Z 2J0,Canada,(819) 722-2453,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4607,CLSC DE LATULIPE,CLSC DE LATULIPE,"5, rue du carrefour Nord",,Latulipe-et-Gaboury (85060),J0Z 2N0,Canada,(819) 747-5561,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4367,CLSC DE MOFFET,CLSC DE MOFFET,"14-A, rue Principale",,Moffet (85075),J0Z 2W0,Canada,(819) 747-6171,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4565,CLSC DE MONTBEILLARD,CLSC DE MONTBEILLARD,"9632, boulevard Rideau",,Rouyn-Noranda (86042),J0Z 2X0,Canada,(819) 797-2745,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-7866,CLSC DE NÉDÉLEC,CLSC DE NÉDÉLEC,"66, rue Principale",,Nédélec (85100),J0Z 2Z0,Canada,(819) 784-4541,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5370-2106,CLSC DE NORMÉTAL,CLSC DE NORMÉTAL,"18, 7e Avenue",,Normétal (87115),J0Z 3A0,Canada,(819) 788-9191,Abitibi-Témiscamingue (08),Abitibi-Ouest (08111),Abitibi-Ouest (870),Abitibi-Ouest (573),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4375,CLSC DE NOTRE-DAME-DU-NORD,CLSC DE NOTRE-DAME-DU-NORD,"17-A, rue Principale Nord",,Notre-Dame-du-Nord (85090),J0Z 3B0,Canada,(819) 723-2472,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5351-5524,CLSC DE PREISSAC,CLSC DE PREISSAC,"6, rue des Rapides",,Preissac (88090),J0Y 2E0,Canada,(819) 732-8539,Abitibi-Témiscamingue (08),Abitibi (08121),Abitibi (880),Abitibi-Ouest (573),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-7825,CLSC DE RÉMIGNY,CLSC DE RÉMIGNY,"1290, rue de l'Église",,Rémigny (85105),J0Z 3H0,Canada,(819) 761-3491,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5351-5540,CLSC DE ROCHEBAUCOURT,CLSC DE ROCHEBAUCOURT,"15, rue des Pins",,Rochebaucourt (88010),J0Y 2J0,Canada,(819) 754-2108,Abitibi-Témiscamingue (08),Abitibi (08121),Abitibi (880),Abitibi-Ouest (573),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-8914,CLSC DE ROUYN-NORANDA,CLSC DE ROUYN-NORANDA,"1, 9e Rue",,Rouyn-Noranda (86042),J9X 2A9,Canada,(819) 762-8144,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5121-9640,CLSC DE SENNETERRE,CLSC DE SENNETERRE,"961, rue de la Clinique",case postale 4000,Senneterre (89040),J0Y 2M0,Canada,(819) 825-5858,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CHSGS   4 Lit(s) de santé physique; CHSLD   8 Lit(s) d'hébergement permanent; CHSLD   1 Lit(s) d'hébergement temporaire; CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-9391,CLSC DE TASCHEREAU,CLSC DE TASCHEREAU,"417, avenue Privat",,Taschereau (87042),J0Z 3N0,Canada,(819) 796-2245,Abitibi-Témiscamingue (08),Abitibi-Ouest (08111),Abitibi-Ouest (870),Abitibi-Ouest (573),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-6016,CLSC DE VAL-D'OR,CLSC DE VAL-D'OR,"735, 6e Rue",,Val-d'Or (89008),J9P 3Y1,Canada,(819) 825-5858,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-2254,CENTRE DE RÉADAPTATION LA MAISON,CR LA MAISON,"100, chemin du Docteur-Lemay",,Rouyn-Noranda (86042),J9X 5T2,Canada,(819) 762-6592,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CRDI   10 Place(s) en internat; CRDPV    Service d'aides techniques; CRDPV    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-1926,CENTRE DE RÉADAPTATION EN DÉPENDANCE D'AMOS,CRD D'AMOS,"621, rue de l'Harricana",,Amos (88055),J9T 2P9,Canada,(819) 732-8241,Abitibi-Témiscamingue (08),Abitibi (08121),Abitibi (880),Abitibi-Ouest (573),CRPAT   10 Place(s) en internat; CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3393,CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE ROUYN-NORANDA,CRJDA DE ROUYN-NORANDA,"104, chemin Docteur-Lemay",,Rouyn-Noranda (86042),J9X 5T2,Canada,(819) 762-2012,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CRJDA   40 Place(s) en internat - unité de vie,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3385,FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE LOUVICOURT,FOYER DE GROUPE POUR JDA DE LOUVICOURT,"30, chemin Sleepy",,Val-d'Or (89008),J9P 7H2,Canada,(819) 736-2049,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CRJDA   9 Place(s) en foyer de groupe,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-6222,GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE LA VALLÉE-DE-LíOR,GMFU DE LA VALLÉE-DE-LíOR,"525, 6e Rue",,Val-d'Or (89008),J9P 0L6,Canada,(000) 000-0000,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CHSGS    Groupe de médecine de famille universitaire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-8906,HÔPITAL D'AMOS,HÔPITAL D'AMOS,"622, 4e Rue Ouest",,Amos (88055),J9T 2S2,Canada,(819) 732-3341,Abitibi-Témiscamingue (08),Abitibi (08121),Abitibi (880),Abitibi-Ouest (573),CHSGS   76 Lit(s) de santé physique; CHSGS   8 Lit(s) de psychiatrie; CHSGS    Urgence; CHSGS    Consultations externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-8922,HÔPITAL DE ROUYN-NORANDA,HÔPITAL DE ROUYN-NORANDA,"4, 9e Rue",,Rouyn-Noranda (86042),J9X 2B2,Canada,(819) 764-5131,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CHSGS   109 Lit(s) de santé physique; CHSGS   14 Lit(s) de psychiatrie; CHSGS    Urgence; CHSGS    Consultations externes; CHSLD   15 Lit(s) d'hébergement transitoire,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-5589,HÔPITAL ET CENTRE DE RÉADAPTATION EN DÉPENDANCE DE VAL-D'OR,HÔPITAL ET CENTRE DE RÉADAPTATION EN DÉPENDANCE DE VAL-,"725, 6e Rue",,Val-d'Or (89008),J9P 3Y1,Canada,(819) 825-5858,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CHSGS   104 Lit(s) de santé physique; CHSGS   3 Lit(s) de gériatrie; CHSGS    Urgence; CHSGS    Consultations externes; CRPAT    Services externes - activités complémentaires,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-5597,HOPITAL PSYCHIATRIQUE DE MALARTIC,HOPITAL PSYCHIATRIQUE DE MALARTIC,"1141, rue Royale",case postale 800,Malartic (89015),J0Y 1Z0,Canada,(819) 825-5858,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CHSGS   34 Lit(s) de psychiatrie; CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5121-8840,PAVILLON SAINTE-FAMILLE,PAVILLON SAINTE-FAMILLE,"22, rue Notre-Dame Nord",,Ville-Marie (85025),J9V 1W8,Canada,(819) 629-2420,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CHSGS   29 Lit(s) de santé physique; CHSGS   2 Lit(s) de gériatrie; CHSGS    Urgence; CHSGS    Consultations externes; CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-2874,POINT DE SERVICE DE 1ÈRE LIGNE DUPUY,POINT DE SERVICE DE 1ÈRE LIGNE DUPUY,"2, 6e Avenue Ouest",,Dupuy (87085),J0Z 1X0,Canada,(819) 783-2856,Abitibi-Témiscamingue (08),Abitibi-Ouest (08111),Abitibi-Ouest (870),Abitibi-Ouest (573),CHSLD    Centre de jour; CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-3609,POINT DE SERVICE DE TÉMISCAMING-ET-DE-KIPAWA,POINT DE SERVICE DE TÉMISCAMING-ET-DE-KIPAWA,"180, rue Anvik",case postale 760,Témiscaming (85005),J0Z 3R0,Canada,(819) 627-3385,Abitibi-Témiscamingue (08),Témiscaming (08152),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CHSGS   6 Lit(s) de santé physique; CHSGS    Urgence; CHSGS    Consultations externes; CHSLD   14 Lit(s) d'hébergement permanent; CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-2262,SERVICES EXTERNES - DÉFICIENCE PHYSIQUE D'AMOS,SERV. EXT. - DÉF. PHYS. D'AMOS,"582, 10e Avenue Ouest",suite 200,Amos (88055),J9T 1X3,Canada,(819) 732-8690,Abitibi-Témiscamingue (08),Abitibi (08121),Abitibi (880),Abitibi-Ouest (573),CRDI    Services externes; CRDPA    Services externes; CRDPM    Services externes; CRDPV    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5294-2570,SERVICES EXTERNES - DÉFICIENCE PHYSIQUE DE LA SARRE,SERV. EXT. - DÉF. PHYS. DE LA SARRE,"677, 2e Rue Est",,La Sarre (87090),J9Z 2X7,Canada,(819) 333-9753,Abitibi-Témiscamingue (08),Abitibi-Ouest (08111),Abitibi-Ouest (870),-572,CRDI    Services externes; CRDPA    Services externes; CRDPM    Services externes; CRDPV    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-0274,SERVICES EXTERNES - DÉFICIENCE PHYSIQUE DE VAL D'OR,SERV. EXT. - DÉF. PHYS. DE VAL D'OR,"975, rue Germain",,Val-d'Or (89008),J9P 7H7,Canada,(819) 825-3337,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CRDI    Services externes; CRDPA    Service d'aides techniques; CRDPA    Services externes; CRDPM    Service d'aides techniques; CRDPM    Services externes; CRDPV    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4748,SERVICES EXTERNES - DÉFICIENCE PHYSIQUE DE VILLE-MARIE,SERV. EXT. - DÉF. PHYS. DE VILLE-MARIE,"25, rue Sainte-Anne, bureau 102",,Ville-Marie (85025),J9V 2B6,Canada,(819) 762-6592,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CRDI    Services externes; CRDPA    Services externes; CRDPM    Services externes; CRDPV    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5502-3097,SERVICES EXTERNES D'AIDES TECHNIQUES DE ROUYN-NORANDA,SERV. EXT. AIDES TECHN. DE ROUYN-NORANDA,"7, 9e Rue",,Rouyn-Noranda (86042),J9X 2A9,Canada,(819) 762-6592,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CRDPA    Service d'aides techniques; CRDPM    Service d'aides techniques,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
1246-9490,SERVICES D'HEBERGEMENT INTERNES SERVICES DE READAPTATION EXTERNES - SOUS-REGION D'AMOS,SERVICES D'HEBERGEMENT INTERNES - SOUS-REGION D'AMOS,"841, 3e Rue Ouest",,Amos (88055),J9T 2T4,Canada,(819) 732-6511,Abitibi-Témiscamingue (08),Abitibi (08121),Abitibi (880),Abitibi-Ouest (573),CRDI   31 Place(s) en internat; CRDI    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5266-5163,SERVICES EXTERNES DE LA SARRE,SERVICES EXTERNES DE LA SARRE,"679, 2e Rue Est",case postale 6000,La Sarre (87090),J9Z 2X7,Canada,(819) 333-2311,Abitibi-Témiscamingue (08),Abitibi-Ouest (08111),Abitibi-Ouest (870),-572,CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-7668,SERVICES EXTERNES DE ROUYN-NORANDA,SERVICES EXTERNES DE ROUYN-NORANDA,"1, 9e Rue, 2e ét.",,Rouyn-Noranda (86042),J9X 2A9,Canada,(819) 762-0088,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-7700,SERVICES EXTERNES DE SENNETERRE,SERVICES EXTERNES DE SENNETERRE,"961, rue de la clinique",,Senneterre (89040),J0Y 2M0,Canada,(819) 737-2245,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5266-5114,SERVICES EXTERNES DE TÉMISCAMING,SERVICES EXTERNES DE TÉMISCAMING,"180, rue Anvik",case postale 760,Témiscaming (85005),J0Z 3R0,Canada,(819) 627-3385,Abitibi-Témiscamingue (08),Témiscaming (08152),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-7643,SERVICES EXTERNES DE VILLE-MARIE,SERVICES EXTERNES DE VILLE-MARIE,"22, rue Notre-Dame Nord, 2e ét.",c.p. 2000,Ville-Marie (85025),J9V 1W8,Canada,(819) 629-2146,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5232-8531,SOUS-RÉGION DE LA SARRE,SOUS-RÉGION DE LA SARRE,"74, 8e Avenue Est",,La Sarre (87090),J9Z 1N6,Canada,(819) 333-9198,Abitibi-Témiscamingue (08),Abitibi-Ouest (08111),Abitibi-Ouest (870),Abitibi-Ouest (573),CRDI    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-4433,SOUS-RÉGION DE ROUYN-NORANDA,SOUS-RÉGION DE ROUYN-NORANDA,"26, rue Monseigneur-Rhéaume Est",bureau 300,Rouyn-Noranda (86042),J9X 3J5,Canada,(819) 762-0964,Abitibi-Témiscamingue (08),Rouyn-Noranda (08131),Rouyn-Noranda (860),Rouyn-Noranda--Témiscamingue (567),CRDI    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5257-1767,SOUS-RÉGION DE VAL-D'OR,SOUS-RÉGION DE VAL-D'OR,"1220, 7e Rue",,Val-d'Or (89008),J9P 5S7,Canada,(819) 825-4821,Abitibi-Témiscamingue (08),Vallée-de-l'Or (08141),La Vallée-de-l'Or (890),Abitibi-Est (579),CRDI    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5307-1254,SOUS-RÉGION DE VILLE-MARIE,SOUS-RÉGION DE VILLE-MARIE,"107-21, rue Notre-Dame-de-Lourdes",,Ville-Marie (85025),J9V 1X7,Canada,(819) 622-0075,Abitibi-Témiscamingue (08),Ville-Marie (08151),Témiscamingue (850),Rouyn-Noranda--Témiscamingue (567),CRDI    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-5042,BUREAU DE SERVICES SOCIAUX DE FORESTVILLE,BUREAU DE SERVICES SOCIAUX DE FORESTVILLE,"8, 10e Rue",,Forestville (95045),G0T 1E0,Canada,(418) 587-2204,Côte-Nord (09),Forestville (09122),La Haute-Côte-Nord (950),René-Lévesque (753),CPEJ; CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5149-6214,BUREAU DE SERVICES SOCIAUX DE HAVRE-SAINT-PIERRE ET SERVICES EXTERNES (CENTRE RÉADAPTATION DE LA CÔTE-NORD),BUREAU DE SERVICES SOCIAUX DE HAVRE-SAINT-PIERRE,"1035, promenade des Anciens",case postale 4005,Havre-Saint-Pierre (98040),G0G 1P0,Canada,(418) 538-2955,Côte-Nord (09),Minganie (09151),Minganie (981),Duplessis (745),CPEJ; CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5138-7371,CENTRE ADMINISTRATIF,CENTRE ADMINISTRATIF,"1250, rue Lestrat",,Baie-Comeau (96020),G5C 1T8,Canada,(418) 589-2038,Côte-Nord (09),Manicouagan (09123),Manicouagan (960),René-Lévesque (753),CRDI    Services externes; CRDPA    Services externes; CRDPM    Services externes; CRDPV    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-5067,CENTRE DE RÉADAPTATION EN DÉPENDANCE LA TABATIÈRE,CENTRE DE RÉADAPTATION EN DÉPENDANCE LA TABATIÈRE,La Tabatière,,Côte-Nord-du-Golfe-du-Saint-Laurent (98015),G0G 1T0,Canada,(418) 773-2232,Côte-Nord (09),Basse Côte-Nord (09161),Le Golfe-du-Saint-Laurent (982),Duplessis (745),CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5123-5059,CENTRE DE RÉADAPTATION MONSEIGNEUR BLANCHE,CENTRE DE RÉADAPTATION MONSEIGNEUR BLANCHE,"94, rue Monseigneur-Blanche",,Sept-Îles (97007),G4R 3G5,Canada,(418) 968-2470,Côte-Nord (09),Sept-Îles (09141),Sept-Rivières (971),Duplessis (745),CRDI    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5122-0663,CENTRE LE CANAL,CENTRE LE CANAL,"659, boulevard Blanche",,Baie-Comeau (96020),G5C 2B2,Canada,(418) 589-5704,Côte-Nord (09),Manicouagan (09123),Manicouagan (960),René-Lévesque (753),CRPAT   13 Place(s) en internat; CRPAT    Services externes,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
5121-9004,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MINGANIE,CENTRE MULTI. SSS DE LA MINGANIE,"1035, promenade des Anciens",,Havre-Saint-Pierre (98040),G0G 1P0,Canada,(418) 538-2212,Côte-Nord (09),Minganie (09151),Minganie (981),Duplessis (745),CHSGS   13 Lit(s) de santé physique; CHSGS    Urgence; CHSGS    Consultations externes; CHSLD   38 Lit(s) d'hébergement permanent; CHSLD   3 Lit(s) d'hébergement temporaire; CLSC,(000) 000-0000,,,,Public,"L.R.Q., chapitre S-4.2 (Loi 120)",Loi serv. Santé et serv. Sociaux,CPEJ CLSC CH CHSLD CR,,Non,Budget,Assisted Living
