Facility Name,Address,City,Postal Code,Province,Contact Phone,Fax,Accessibility,Service hours,Eligibility,country
Vilna Villa,5404 50 Street,Vilna,T0A 3L0,AB,780-636-3540 (switchboard),,Wheel chair access available.,,To access a designated living option a referral isÊmade through the North Zone (Continuing Care Access) CCA team. A Home Care Case Manager will contact the clientÊto review their healthcare needs and complete an assessment to determine eligibility.,Canada
Vulcan Community Health Centre,610 Elizabeth Street,Vulcan,T0L 2B0,AB,403-485-3333 (Switchboard),403-485-2336,Wheel chair access available.,Visiting Hours Monday - Sunday 10:00 am to 8:30 p,Must be a Home Care client over the age of 65.Ê,Canada
Wabasca / Desmarais Community Health Services,867 Stoney Point Road,Wabasca,T0G 2K0,AB,780-891-3931,780-891-3011,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 p,,Canada
Walden Heights Seniors Community,250 Walden Drive,Calgary,T2X 0V1,AB,403-873-4700 (switchboard),403-873-4707,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Wentworth Manor - The Court,5709 14 Avenue,Calgary,T3H 3M2,AB,403-242-5005(Switchboard),403-686-8702,Wheel chair access available.,,,Canada
West Country Hearth,26504  Secondary Hwy 633,Villeneuve,T8T 1R9,AB,780-418-3015 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
West Park Lodge,5715 41 Street,Red Deer,T4N 1B3,AB,403-343-7471 (Switchboard),,Wheel chair access available.,Monday: 8:00 am - 4:00 pm.Tuesday: 8:00 am - 4:00 pm.Wednesday: 8:00 am - 4:00 pm.Thursday: 8:00 am - 4:00 pm.Friday: 8:00 am - 4:00 pm.Hours of operation are for information on service delivery and Receptio,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Westlock Community Health Services,10024 107 Avenue,Westlock,T7P 2E3,AB,780-349-3316,780-349-5725,Wheel chair access available.,Monday: 8:30 am - 4:30 pm.Tuesday: 8:30 am - 4:30 pm.Wednesday: 8:30 am - 4:30 pm.Thursday: 8:30 am - 4:30 pm.Friday: 8:30 am - 4:30 p,Adults 18 years of age and older.,Canada
Westlock Continuing Care Centre,10203 96 Street,Westlock,T7P 2R3,AB,780-349-3306 (Reception),780-349-5647,Wheel chair access available.,,People must be Home Care clients at risk for being placed in a supportive living facility or who go to the hospital often.,Canada
WestView Health Centre ,4405 South Park Drive,Stony Plain,T7Z 2M7,AB,780-968-3600 (Switchboard),780-963-7192,Wheel chair access available.,Visiting Hours Monday - Sunday 8:00 am to 8:00 p,History of substance use / gambling / sex addiction or concerned about anothers substance use and / or gambling.,Canada
Whispering Pines Seniors Lodge,10210 Shand Avenue,Grande Cache,T0E 0Y0,AB,780-827-5600 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Whitecourt Community Health Services,4707 50 Avenue,Whitecourt,T7S 1P1,AB,780-706-3173,780-706-7154,Wheel chair access available.,Monday: 8:00 am - 4:30 pm.Tuesday: 8:00 am - 4:30 pm.Wednesday: 8:00 am - 4:30 pm.Thursday: 8:00 am - 4:30 pm.Friday: 8:00 am - 4:30 p,Adults 18 years of age and older.,Canada
Whitehorn Village,5200 44 Avenue,Calgary,T1Y 7L4,AB,403-271-2277 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
Wild Rose Cottage ,9612 172 Street,Edmonton,T5T 6C7,AB,780-443-1234 (Switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
William J. Cadzow  - Lac La Biche Healthcare Centre,9110 93 Street,Lac La Biche,T0A 2C0,AB,780-623-4404 (Switchboard),780-623-5904,Wheel chair access available.,"Visiting Hours Monday - Sunday 8:00 am to 8:00 pm.

There is currently no ultrasound being offered in this location due to vacanc",,Canada
Willow Creek Continuing Care Centre ,4221 8 Street,Claresholm,T0L 0T0,AB,403-625-3361,403-625-3822,Wheel chair access available.,,,Canada
Wing Kei Care Centre,1212 Centre Street,Calgary,T2E 2R4,AB,403-277-7433,403-230-3857,Wheel chair access available.,,,Canada
Wing Kei Greenview,307 35 Avenue,Calgary,T2E 2K6,AB,403-520-0400 (switchboard),,Wheel chair access available.,,Clients are assessed during the intake process to ensure placement in the most appropriate residential care setting available.,Canada
York Creek Lodge,1810 112 Street,Blairmore,T0K 0E0,AB,403-562-2102 (switchboard),,Wheel chair access available.,,Clients are assessed by a Home Care Case Manager to make sure they're placed in the residential care setting that can best meet their needs.,Canada
Youville Auxiliary Hospital (Grey Nuns) of St. Albert,9A St. Vital Avenue,St. Albert,T8N 1K1,AB,780-460-6900 (Switchboard),780-459-4139,Wheel chair access available.,Visiting Hours Monday - Sunday 8:00 am to 8:00 p,,Canada
